instruction,response,language
Create EF Core DbSet for Sales,public DbSet<Sales> Saless { get; set; },.NET
Create Angular form for Category,"this.form = this.fb.group({ name: ['', Validators.required] });",Angular
Write SQL query to get all Category,SELECT * FROM Category;,SQL
Create a C# class for Product,public class Product { public int Id { get; set; } public string Name { get; set; } },.NET
Create a C# class for Purchase,public class Purchase { public int Id { get; set; } public string Name { get; set; } },.NET
Create Angular form for Order,"this.form = this.fb.group({ name: ['', Validators.required] });",Angular
Create Angular service for Order,"@Injectable({ providedIn: 'root' })
export class OrderService { constructor(private http: HttpClient) { } }",Angular
Write SQL query to get all Employee,SELECT * FROM Employee;,SQL
Write SQL query to get all Sales,SELECT * FROM Sales;,SQL
Write SQL query to get all Order,SELECT * FROM Order;,SQL
Write SQL insert query for Stock,INSERT INTO Stock (Name) VALUES ('John');,SQL
Create EF Core DbSet for Invoice,public DbSet<Invoice> Invoices { get; set; },.NET
Create a C# class for Purchase,public class Purchase { public int Id { get; set; } public string Name { get; set; } },.NET
Write SQL join query between Employee and Orders,SELECT * FROM Employee e JOIN Orders o ON e.Id = o.EmployeeId;,SQL
Write SQL join query between Sales and Orders,SELECT * FROM Sales e JOIN Orders o ON e.Id = o.SalesId;,SQL
Write SQL query to get all Product,SELECT * FROM Product;,SQL
Write SQL insert query for Product,INSERT INTO Product (Name) VALUES ('John');,SQL
Create Angular service for Product,"@Injectable({ providedIn: 'root' })
export class ProductService { constructor(private http: HttpClient) { } }",Angular
Create a C# class for Stock,public class Stock { public int Id { get; set; } public string Name { get; set; } },.NET
Create Angular form for Stock,"this.form = this.fb.group({ name: ['', Validators.required] });",Angular
Write SQL join query between Sales and Orders,SELECT * FROM Sales e JOIN Orders o ON e.Id = o.SalesId;,SQL
Create Angular service for Order,"@Injectable({ providedIn: 'root' })
export class OrderService { constructor(private http: HttpClient) { } }",Angular
Create Angular component for Sales,"@Component({ selector: 'app-sales', templateUrl: './sales.component.html' })
export class SalesComponent { }",Angular
Create a C# class for Invoice,public class Invoice { public int Id { get; set; } public string Name { get; set; } },.NET
Create a C# class for Purchase,public class Purchase { public int Id { get; set; } public string Name { get; set; } },.NET
Create ASP.NET Core controller for Customer,"[ApiController]
[Route(""api/[controller]"")]
public class CustomerController : ControllerBase { }",.NET
Write SQL join query between Category and Orders,SELECT * FROM Category e JOIN Orders o ON e.Id = o.CategoryId;,SQL
Create Angular form for Customer,"this.form = this.fb.group({ name: ['', Validators.required] });",Angular
Write SQL insert query for Customer,INSERT INTO Customer (Name) VALUES ('John');,SQL
Create Angular form for Invoice,"this.form = this.fb.group({ name: ['', Validators.required] });",Angular
Create EF Core DbSet for Employee,public DbSet<Employee> Employees { get; set; },.NET
Create Angular component for Sales,"@Component({ selector: 'app-sales', templateUrl: './sales.component.html' })
export class SalesComponent { }",Angular
Create Angular form for Invoice,"this.form = this.fb.group({ name: ['', Validators.required] });",Angular
Write SQL join query between Invoice and Orders,SELECT * FROM Invoice e JOIN Orders o ON e.Id = o.InvoiceId;,SQL
Create a C# class for Customer,public class Customer { public int Id { get; set; } public string Name { get; set; } },.NET
Create Angular component for Product,"@Component({ selector: 'app-product', templateUrl: './product.component.html' })
export class ProductComponent { }",Angular
Write SQL join query between Product and Orders,SELECT * FROM Product e JOIN Orders o ON e.Id = o.ProductId;,SQL
Create a C# class for Employee,public class Employee { public int Id { get; set; } public string Name { get; set; } },.NET
Create EF Core DbSet for Product,public DbSet<Product> Products { get; set; },.NET
Create Angular form for Invoice,"this.form = this.fb.group({ name: ['', Validators.required] });",Angular
Write SQL query to get all Invoice,SELECT * FROM Invoice;,SQL
Write SQL join query between Purchase and Orders,SELECT * FROM Purchase e JOIN Orders o ON e.Id = o.PurchaseId;,SQL
Create EF Core DbSet for Stock,public DbSet<Stock> Stocks { get; set; },.NET
Write SQL join query between Stock and Orders,SELECT * FROM Stock e JOIN Orders o ON e.Id = o.StockId;,SQL
Write SQL query to get all Invoice,SELECT * FROM Invoice;,SQL
